2048	10 00010 000000 00000 0 00000000 00000		-> Arithmetic Format, 

2052	10 00100 000000 00000 0 00000000 00000		-> Arithmetic Format, 

2056	00 00100 100 1111111111111111000000		-> SETHI Format, 

2060	11 00011 000000 00010 1 0101110111000		-> Memory Format, Load register 3 with what's stored in memory address 3000

2064	10 00011 010000 00011 0 00000000 00000		-> Arithmetic Format, Addition: Add register 3 with register 0 and store the result in register 3

2068	00 0 0001 010 0000000000000000000111		-> Branch Format, Branch if equal, 

2072	11 00001 000000 00100 1 0000000000100		-> Memory Format, Load register 1 with what's stored in memory address 4

2076	10 00001 010001 00001 1 0000010000000		-> Arithmetic Format, Bitwise logical AND 

2080	00 0 0001 010 1111111111111111111110		-> Branch Format, Branch if equal, 

2084	11 00011 000100 00100 1 0000000000000		-> Memory Format, Store register 3 into memory address 0

2088	10 00010 000000 00010 1 0000000000100		-> Arithmetic Format, 

2092	00 0 1000 010 1111111111111111111000		-> Branch Format, Branch always

2096	11 11111 111111 11111 1 1111111111111		-> Unknown instruction

3000	00000000000000000000000001001000		-> Unknown instruction

3004	00000000000000000000000001100101		-> Unknown instruction

3008	00000000000000000000000001101100		-> Unknown instruction

3012	00000000000000000000000001101100		-> Unknown instruction

3016	00000000000000000000000001101111		-> Unknown instruction

3020	00000000000000000000000000101100		-> Unknown instruction

3024	00000000000000000000000000100000		-> Unknown instruction

3028	00000000000000000000000001110111		-> Unknown instruction

3032	00000000000000000000000001101111		-> Unknown instruction

3036	00000000000000000000000001110010		-> Unknown instruction

3040	00000000000000000000000001101100		-> Unknown instruction

3044	00000000000000000000000001100100		-> Unknown instruction

3048	00000000000000000000000000100001		-> Unknown instruction

3052	00000000000000000000000000001010		-> Unknown instruction

3056	00000000000000000000000000000000		-> Unknown instruction

